date,p,q
2024/6/2 22:30,92.46,-2.85
2024/6/2 22:45,90.59,-2.56
2024/6/2 23:00,94.6,-0.83
2024/6/2 23:15,94.55,-0.68
2024/6/2 23:30,94.41,-0.98
2024/6/2 23:45,86.18,-2.68
2024/6/3 0:00,87.82,0.32
2024/6/3 0:15,86.46,-0.62
2024/6/3 0:30,88.83,0.88
2024/6/3 0:45,84.38,0.52
2024/6/3 1:00,84.23,-1.38
2024/6/3 1:15,82.71,-1.88
2024/6/3 1:30,87.59,1.99
2024/6/3 1:45,88.6,2.98
2024/6/3 2:00,83.46,-1.1
2024/6/3 2:15,81.38,-0.3
2024/6/3 2:30,87.74,0.7
2024/6/3 2:45,85.33,0.71
2024/6/3 3:00,82.96,0.42
2024/6/3 3:15,82.34,-0.26
2024/6/3 3:30,84.1,0.78
2024/6/3 3:45,84.13,2.51
2024/6/3 4:00,86.28,2.84
2024/6/3 4:15,91.71,4.47
2024/6/3 4:30,83.91,1.73
2024/6/3 4:45,92.63,4.73
2024/6/3 5:00,93.21,6.23
2024/6/3 5:15,97.57,4.96
2024/6/3 5:30,81.35,2.91
2024/6/3 5:45,83.59,5.09
2024/6/3 6:00,90.7,7.64
2024/6/3 6:15,74.13,7.54
2024/6/3 6:30,90.72,14.73
2024/6/3 6:45,104.14,15.68
2024/6/3 7:00,113.81,18.63
2024/6/3 7:15,113.21,12.56
2024/6/3 7:30,93.35,10.08
2024/6/3 7:45,101.88,11.65
2024/6/3 8:00,102.51,13.42
2024/6/3 8:15,103.1,11.72
2024/6/3 8:30,100.32,10.97
2024/6/3 8:45,130.92,12.7
2024/6/3 9:00,153.8,13.88
2024/6/3 9:15,163.47,17.01
2024/6/3 9:30,158.84,16.19
2024/6/3 9:45,145.67,16.06
2024/6/3 10:00,145.07,17.46
2024/6/3 10:15,141.09,17.19
2024/6/3 10:30,137.12,16.91
2024/6/3 10:45,144.17,22.52
2024/6/3 11:00,142.4,16.13
2024/6/3 11:15,150.21,15.57
2024/6/3 11:30,134.21,16.29
2024/6/3 11:45,133.02,14.07
2024/6/3 12:00,130.86,11.13
2024/6/3 12:15,125.95,11.21
2024/6/3 12:30,129.8,13.93
2024/6/3 12:45,122.07,10.86
2024/6/3 13:00,120.81,11.55
2024/6/3 13:15,122.98,14.09
2024/6/3 13:30,134.42,16.97
2024/6/3 13:45,124.75,11.78
2024/6/3 14:00,120.56,13.35
2024/6/3 14:15,129.79,13.35
2024/6/3 14:30,119.52,13.51
2024/6/3 14:45,118.25,13.65
2024/6/3 15:00,117.51,13.69
2024/6/3 15:15,114.12,13.94
2024/6/3 15:30,113.94,12.61
2024/6/3 15:45,106.92,11.87
2024/6/3 16:00,113.51,9.99
2024/6/3 16:15,111.87,9.57
2024/6/3 16:30,111.18,9.24
2024/6/3 16:45,112.26,13.96
2024/6/3 17:00,112.81,12.41
2024/6/3 17:15,95.21,8.11
2024/6/3 17:30,87.57,7.03
2024/6/3 17:45,94.84,7.87
2024/6/3 18:00,87.58,8.43
2024/6/3 18:15,90.36,6.43
2024/6/3 18:30,89,-0.3
2024/6/3 18:45,96.27,-1.64
2024/6/3 19:00,98.21,-1.65
2024/6/3 19:15,97.79,-3.37
2024/6/3 19:30,96.5,-3.47
2024/6/3 19:45,95.59,-2.12
2024/6/3 20:00,98.71,-1.28
2024/6/3 20:15,97.01,-2.16
2024/6/3 20:30,97.07,-2.07
2024/6/3 20:45,95.9,-3.08
2024/6/3 21:00,92.6,-2.95
2024/6/3 21:15,91.2,-3.28
2024/6/3 21:30,90.99,-4.09
2024/6/3 21:45,91.55,-2.23
2024/6/3 22:00,93.92,-2.23
2024/6/3 22:15,89.04,-3.21
2024/6/3 22:30,84.16,-4.18
2024/6/3 22:45,88.51,-2.97
2024/6/3 23:00,90.34,-3.14
2024/6/3 23:15,84.45,-3.93
2024/6/3 23:30,84.2,-4.77
2024/6/3 23:45,89.2,-1.93
2024/6/4 0:00,92.4,-0.05
2024/6/4 0:15,89.5,0.6
2024/6/4 0:30,88.79,-1.12
2024/6/4 0:45,91.29,0.09
2024/6/4 1:00,89.41,0.35
2024/6/4 1:15,88.49,-0.67
2024/6/4 1:30,90.85,-1.94
2024/6/4 1:45,90.12,-1.76
2024/6/4 2:00,86.82,-0.67
2024/6/4 2:15,91.95,0.05
2024/6/4 2:30,89.78,0.12
2024/6/4 2:45,87.69,1.16
2024/6/4 3:00,90.12,-0.02
2024/6/4 3:15,87.07,1.41
2024/6/4 3:30,88.78,1.28
2024/6/4 3:45,82.87,2.32
2024/6/4 4:00,86.46,0.73
2024/6/4 4:15,86.34,-0.9
2024/6/4 4:30,85.4,-0.33
2024/6/4 4:45,89.45,-1.22
2024/6/4 5:00,82.15,-0.64
2024/6/4 5:15,84.76,0.62
2024/6/4 5:30,77.92,3.65
2024/6/4 5:45,73.23,3.71
2024/6/4 6:00,76.09,7.92
2024/6/4 6:15,87.42,5.94
2024/6/4 6:30,91.99,5.15
2024/6/4 6:45,87.97,9.56
2024/6/4 7:00,105.88,8.12
2024/6/4 7:15,115.91,12.3
2024/6/4 7:30,102.22,5.34
2024/6/4 7:45,129.69,15.15
2024/6/4 8:00,93.06,10.04
2024/6/4 8:15,126.02,9.38
2024/6/4 8:30,112.75,9.34
2024/6/4 8:45,132.96,16.32
2024/6/4 9:00,146.24,15.47
2024/6/4 9:15,159.4,15.09
2024/6/4 9:30,164.36,20.73
2024/6/4 9:45,119.72,13.11
2024/6/4 10:00,122.99,13.51
2024/6/4 10:15,152.08,11.12
2024/6/4 10:30,172.14,13.69
2024/6/4 10:45,158.59,17.59
2024/6/4 11:00,164.85,18.28
2024/6/4 11:15,82.88,13.6
2024/6/4 11:30,138.75,17.7
2024/6/4 11:45,155.12,21.28
2024/6/4 12:00,194.44,9.09
2024/6/4 12:15,122.03,24.36
2024/6/4 12:30,126.04,17.44
2024/6/4 12:45,135.28,12.33
2024/6/4 13:00,110.92,14.25
2024/6/4 13:15,115.76,18.8
2024/6/4 13:30,171.06,16.86
2024/6/4 13:45,122.26,13.65
2024/6/4 14:00,167.4,19.61
2024/6/4 14:15,107.04,14.85
2024/6/4 14:30,118.69,19.94
2024/6/4 14:45,126.1,21.44
2024/6/4 15:00,130.07,21.17
2024/6/4 15:15,149.94,21.02
2024/6/4 15:30,134.28,18.93
2024/6/4 15:45,131.97,9.93
2024/6/4 16:00,140.73,18.65
2024/6/4 16:15,114.08,15.09
2024/6/4 16:30,158.73,15.14
2024/6/4 16:45,129.61,18.43
2024/6/4 17:00,136.51,13.69
2024/6/4 17:15,107.62,15.85
2024/6/4 17:30,95.67,6.42
2024/6/4 17:45,99.11,8.66
2024/6/4 18:00,107.56,5.54
2024/6/4 18:15,109.72,8.63
2024/6/4 18:30,108.46,6.78
2024/6/4 18:45,105.15,6.02
2024/6/4 19:00,110.03,1.4
2024/6/4 19:15,109.09,2.88
2024/6/4 19:30,106.84,2.01
2024/6/4 19:45,111.9,1.58
2024/6/4 20:00,108.86,4.24
2024/6/4 20:15,100.45,1.76
2024/6/4 20:30,104.55,0.1
2024/6/4 20:45,103.12,-1.13
